year,computed_total,pdf_total,difference,match
1872,550,550,0,TRUE
1873,561,561,0,TRUE
1874,547,547,0,TRUE
1875,570,570,0,TRUE
1876,638,638,0,TRUE
1877,598,598,0,TRUE
1878,527,527,0,TRUE
1879,520,520,0,TRUE
1880,571,571,0,TRUE
1881,700,700,0,TRUE
1882,715,715,0,TRUE
1883,707,707,0,TRUE
1884,761,761,0,TRUE
1885,690,690,0,TRUE
1886,690,690,0,TRUE
1887,703,703,0,TRUE
1888,750,750,0,TRUE
1889,756,756,0,TRUE
1890,795,795,0,TRUE
1891,827,827,0,TRUE
1892,792,792,0,TRUE
1893,810,810,0,TRUE
1894,839,839,0,TRUE
1895,771,771,0,TRUE
1896,735,735,0,TRUE
1897,767,767,0,TRUE
1898,757,757,0,TRUE
1899,768,768,0,TRUE
1900,777,777,0,TRUE
1901,858,858,0,TRUE
1902,1052,1052,0,TRUE
1903,932,932,0,TRUE
1904,957,957,0,TRUE
1905,1122,1122,0,TRUE
1906,994,994,0,TRUE
1907,934,934,0,TRUE
1908,1154,1154,0,TRUE
1909,1086,1086,0,TRUE
1910,1138,1138,0,TRUE
1911,1038,1038,0,TRUE
1912,1112,1112,0,TRUE
1913,1427,1427,0,TRUE
1914,1537,1537,0,TRUE
1915,1399,1399,0,TRUE
1916,1392,1392,0,TRUE
1917,1187,1187,0,TRUE
1918,1206,1206,0,TRUE
1919,1537,1537,0,TRUE
1920,1275,1275,0,TRUE
1921,1271,1271,0,TRUE
1922,1271,1271,0,TRUE
1923,1426,1426,0,TRUE
1924,1499,1499,0,TRUE
1925,1532,1532,0,TRUE
1926,2252,2252,0,TRUE
1927,1815,1815,0,TRUE
1928,1767,1767,0,TRUE
1929,1940,1940,0,TRUE
